Id,OverallQual,GrLivArea,GarageCars,SalePrice,PriceCategory
2305,7,2610,0,390297,Medium
1275,1,1718,1,206059,Low
1582,1,2182,0,212655,Low
1203,6,2947,2,456245,High
1032,5,2623,3,367814,Medium
2319,7,1854,3,425772,High
1813,4,1630,0,251540,Medium
1997,8,2610,1,440550,High
1381,8,2937,2,489378,High
2073,6,1350,2,338734,Medium
2348,4,2736,2,377679,Medium
1578,9,2595,4,517854,High
1887,10,1640,1,402328,High
2325,5,2922,4,440517,High
2326,8,1356,1,385373,Medium
1941,5,1143,2,289679,Medium
1163,4,1461,0,260591,Medium
1909,3,2553,0,340742,Medium
1297,6,1102,1,274247,Medium
1755,6,1673,3,370431,Medium
1405,7,2460,2,384823,Medium
1968,10,1811,3,464352,High
1605,9,2912,0,471563,High
1420,4,1472,4,310325,Medium
1464,10,2294,0,411353,High
2187,2,2114,2,267596,Medium
1939,7,1436,1,315733,Medium
1192,8,2597,1,420084,High
1674,1,1762,2,227345,Low
1351,6,1743,0,269872,Medium
1858,3,2425,0,296064,Medium
1063,10,2763,2,552514,High
2173,2,1910,3,281772,Medium
1765,9,2456,4,471155,High
2440,8,1076,0,295561,Medium
1261,2,997,0,153248,Low
1342,4,2273,1,315048,Medium
2220,2,2317,0,250662,Medium
1471,4,1110,0,240025,Low
2334,6,1710,2,378543,Medium
1198,2,1436,1,196253,Low
2231,1,2950,2,313342,Medium
1917,5,1428,3,304837,Medium
1743,3,1934,3,317683,Medium
1570,2,1922,1,220656,Low
1218,2,929,3,223574,Low
1453,1,1755,0,187609,Low
1030,9,1686,0,396961,Medium
1056,2,1319,0,197075,Low
2210,8,2167,3,440263,High
2385,4,2846,3,363170,Medium
2065,5,2638,4,422279,High
1430,4,1569,4,303765,Medium
1724,1,1012,4,207735,Low
2144,3,1776,4,296307,Medium
2005,8,1068,2,334349,Medium
2050,1,1889,2,223576,Low
2345,2,876,0,149905,Low
2236,2,2166,0,242707,Low
2235,6,973,4,311377,Medium
2448,5,1341,1,287317,Medium
1620,4,2531,3,337286,Medium
2067,7,2990,1,414745,High
1838,4,2328,1,333990,Medium
1099,8,2495,2,449174,High
1532,5,2785,2,368683,Medium
1528,10,2611,2,477859,High
2346,3,858,0,206952,Low
2172,1,2592,3,317012,Medium
2178,2,1082,1,161354,Low
1629,2,2868,0,272536,Medium
2027,6,1781,4,345708,Medium
1270,4,2074,4,329135,Medium
2341,3,2531,3,355431,Medium
1626,4,2568,2,372136,Medium
2042,4,2137,2,301232,Medium
1976,4,1275,1,227563,Low
1371,6,2716,4,424796,High
1588,6,1221,1,268218,Medium
1967,2,2377,0,259023,Medium
2165,10,2923,2,514575,High
2146,2,1527,1,244270,Low
1236,7,2080,0,353391,Medium
1596,2,2844,0,290304,Medium
1962,5,2913,2,381334,Medium
2445,2,856,3,186850,Low
2163,3,1571,0,211547,Low
1590,5,2397,3,360495,Medium
1208,10,801,1,358648,Medium
2074,6,1192,4,314132,Medium
1899,7,1971,0,379228,Medium
1353,9,1690,0,404147,High
1058,6,1850,2,336763,Medium
1303,5,2787,3,420815,High
2447,5,912,1,259662,Medium
1843,3,2594,2,316206,Medium
2261,9,1362,4,413291,High
2430,9,2146,0,450009,High
2209,6,2600,1,411611,High
1367,5,1269,0,242158,Low
2357,4,2377,2,318519,Medium
2197,2,2013,3,299617,Medium
2304,10,1632,3,453708,High
2232,7,1787,3,368744,Medium
1704,2,1485,1,160405,Low
1233,1,2428,3,306183,Medium
1618,5,982,3,265801,Medium
1196,5,985,4,273273,Medium
2259,1,1709,4,237621,Low
1081,9,1073,4,394844,Medium
2404,6,2571,0,382765,Medium
1597,9,1309,0,358125,Medium
2156,4,2373,3,376000,Medium
1111,3,2749,3,396077,Medium
2276,1,848,1,139279,Low
1780,7,1621,0,312591,Medium
1983,3,2033,4,304068,Medium
1799,9,1899,0,404711,High
2265,7,2428,3,434820,High
2150,4,1326,3,290322,Medium
1824,4,2083,3,341599,Medium
1382,3,1149,4,253003,Medium
1538,10,1933,1,463994,High
2493,6,2356,1,344605,Medium
2112,1,1064,1,163593,Low
1324,2,2154,0,259208,Medium
1361,10,2627,2,503282,High
2487,9,1431,0,364887,Medium
2029,3,1387,2,260221,Medium
1707,3,2367,0,298253,Medium
1332,10,2296,2,445592,High
1429,2,1720,4,285072,Medium
2242,8,1789,1,395808,Medium
1425,10,1449,3,431049,High
1628,6,2748,0,390414,Medium
2111,8,1085,2,372517,Medium
1677,1,2440,3,264977,Medium
1693,9,1322,4,410238,High
1757,5,2554,2,386728,Medium
1254,4,2739,0,308379,Medium
2094,6,2550,3,395314,Medium
1916,3,1224,3,228797,Low
2185,10,2247,1,464087,High
1668,10,2985,1,543175,High
1841,9,937,2,332884,Medium
1806,4,1231,2,256844,Medium
2456,8,2567,1,435187,High
1086,3,1406,2,262379,Medium
2421,8,2846,2,428823,High
1265,4,2029,2,302084,Medium
1287,5,1814,1,268890,Medium
2483,2,2750,2,330871,Medium
1892,1,1674,0,145964,Low
2495,7,2104,4,392288,Medium
1978,8,1284,4,386810,Medium
1534,7,2112,0,359170,Medium
2000,1,1952,1,204684,Low
1221,9,827,0,349072,Medium
1113,3,1717,4,267905,Medium
1672,5,1159,2,260824,Medium
1583,6,2203,1,360037,Medium
1174,8,1152,2,330847,Medium
1535,2,963,3,169013,Low
2078,1,1445,2,188494,Low
2176,9,1061,0,303179,Medium
2106,1,1197,0,146138,Low
1982,3,1927,4,318193,Medium
1285,8,2164,2,400221,High
1867,6,2419,0,371859,Medium
1374,7,2492,2,411400,High
2196,6,1680,0,299633,Medium
1031,3,1898,4,303076,Medium
1551,3,1645,3,281547,Medium
1210,3,1352,1,191239,Low
2046,2,1730,4,267656,Medium
1923,9,2875,4,539891,High
1809,10,982,1,399586,Medium
1617,2,2591,3,308870,Medium
1932,6,1652,2,348649,Medium
1619,9,1428,2,374628,Medium
1188,6,1407,3,314409,Medium
1710,9,1579,1,414924,High
1936,9,897,3,388459,Medium
2168,1,993,1,134079,Low
2219,10,2527,3,505349,High
2097,1,882,4,128903,Low
1901,1,1743,2,176629,Low
1083,1,2143,0,213231,Low
1701,6,2971,1,385028,Medium
1048,7,1592,0,337214,Medium
2283,8,1930,3,416670,High
1155,5,2066,2,322457,Medium
2151,10,2696,2,516304,High
2141,7,2728,4,422848,High
1974,4,1578,1,269151,Medium
2057,6,923,2,292602,Medium
1807,9,1539,0,410391,High
2229,8,1932,0,397206,Medium
2480,7,2297,1,374395,Medium
2436,8,2549,4,489916,High
1179,6,2777,4,462938,High
2355,9,2202,0,386644,Medium
2246,4,1735,3,298599,Medium
2040,9,1742,0,396090,Medium
1949,3,2879,4,384278,Medium
1816,8,1275,4,420310,High
1363,6,850,0,293866,Medium
2177,8,1529,0,339641,Medium
2198,1,1959,2,265930,Medium
1346,3,811,3,229306,Low
2010,10,2558,4,523457,High
1614,10,1499,3,467713,High
1965,4,2791,2,343861,Medium
2273,3,2180,3,339591,Medium
1589,5,2308,4,365953,Medium
2288,6,1853,3,350393,Medium
1631,5,816,2,253254,Medium
1243,8,2756,4,502484,High
2374,4,1934,2,314634,Medium
2451,8,824,3,362292,Medium
1764,10,1837,0,412715,High
1987,5,1082,4,327356,Medium
1411,9,2403,3,503837,High
2420,6,2510,3,396008,Medium
2225,4,818,4,244333,Low
1308,7,1892,2,345885,Medium
1881,6,1705,2,341557,Medium
1398,9,2100,2,429528,High
1370,4,2157,0,279596,Medium
1054,8,1784,1,400517,High
2338,10,2972,1,502972,High
2182,6,2940,1,412092,High
1312,9,2408,1,462150,High
1921,10,2487,1,488177,High
1109,3,801,2,181691,Low
1718,5,1055,0,241428,Low
1691,6,2111,1,319286,Medium
1100,2,1391,0,207418,Low
2125,8,2078,0,392248,Medium
1669,10,2373,1,434231,High
2375,10,2986,0,438101,High
1266,1,1835,1,234531,Low
1678,1,1016,3,187400,Low
1296,5,2961,3,378015,Medium
1529,10,2801,2,501471,High
1944,3,1370,0,179587,Low
2013,3,2360,2,299491,Medium
1950,7,1331,0,335665,Medium
1377,2,905,2,164799,Low
1286,2,928,4,226639,Low
2438,5,2633,1,345001,Medium
1730,5,1867,0,294010,Medium
1126,4,1434,3,263896,Medium
1327,8,1254,2,367086,Medium
1292,4,885,0,193222,Low
1548,5,927,3,258678,Medium
1727,5,2286,0,340369,Medium
1908,3,1905,4,300575,Medium
1355,6,820,1,281271,Medium
1170,3,1244,4,264078,Medium
1966,6,1867,3,391975,Medium
2133,6,2292,0,343226,Medium
1651,2,2890,4,350115,Medium
1209,3,1174,0,197916,Low
2397,1,2760,2,274910,Medium
1140,10,1258,3,439526,High
2083,1,1639,2,203215,Low
1990,8,839,3,358799,Medium
1650,1,886,0,110382,Low
2188,7,2255,3,419180,High
2498,2,2269,4,255425,Medium
1485,3,1163,1,212549,Low
1527,5,929,4,292676,Medium
1199,6,2091,2,345676,Medium
1889,8,2051,0,401147,High
1844,3,1772,4,247432,Low
2068,1,1332,0,170501,Low
2205,10,2768,4,574521,High
2054,9,1870,4,461164,High
1010,4,821,1,181123,Low
1147,9,1314,1,379628,Medium
1721,8,1034,1,329534,Medium
1282,6,1691,1,329129,Medium
1298,3,1387,4,232343,Low
1613,4,1296,4,300430,Medium
1291,3,2318,3,300518,Medium
1649,1,1644,1,191592,Low
1598,1,2006,2,227469,Low
2043,9,1898,3,429949,High
1552,8,2481,4,468245,High
2298,7,2435,1,364047,Medium
1129,7,2239,4,412678,High
2061,1,1439,4,219291,Low
1331,7,1716,0,331527,Medium
1323,10,2188,3,466989,High
1680,2,918,2,162670,Low
1478,5,2479,1,350351,Medium
1561,6,1441,3,300090,Medium
1135,10,1907,2,434215,High
1506,3,1110,0,177270,Low
1513,4,1043,1,218970,Low
2371,1,2782,1,272201,Medium
1435,1,1798,3,212325,Low
1873,1,1417,1,191335,Low
2462,3,1741,4,318218,Medium
1752,10,2306,1,484613,High
1665,5,1572,4,325420,Medium
1158,10,1484,2,405237,High
2253,10,904,2,441210,High
2292,2,1979,1,259517,Medium
1575,7,1682,2,322364,Medium
1352,3,2149,1,267345,Medium
1937,1,2703,3,308062,Medium
2295,9,1159,4,401277,High
2392,10,2310,2,492196,High
2300,7,2743,3,434263,High
1591,4,1567,0,225488,Low
1664,7,2084,0,370974,Medium
1195,8,2194,0,384263,Medium
2240,6,2481,2,386469,Medium
2048,2,1523,4,231893,Low
1438,4,2041,3,337851,Medium
2435,9,821,2,358205,Medium
1643,2,878,4,229120,Low
1096,9,1013,1,357668,Medium
1584,5,1619,4,362965,Medium
2214,7,1655,3,376468,Medium
1156,1,2969,4,303993,Medium
1419,7,2049,4,391319,Medium
1410,6,2116,1,363690,Medium
2222,1,2156,1,224712,Low
1477,9,2731,0,466218,High
1514,3,1289,4,288004,Medium
2285,1,1174,2,184214,Low
2453,10,2848,0,511251,High
2118,8,840,2,306547,Medium
1447,1,872,2,127068,Low
1178,2,958,0,121539,Low
1390,9,2598,1,483100,High
2289,6,2689,0,361940,Medium
2307,7,2811,4,458569,High
2366,5,938,0,203078,Low
2047,7,1088,2,303941,Medium
2142,5,2147,4,366296,Medium
1634,10,2976,3,559356,High
1865,6,2651,4,416444,High
1787,3,1740,4,301658,Medium
1744,3,2983,1,342789,Medium
1859,9,1437,1,371886,Medium
1294,1,1942,0,185026,Low
1544,9,1763,2,381211,Medium
2362,8,1182,2,350079,Medium
1088,8,2367,0,410775,High
2031,5,2621,3,419815,High
2379,7,2584,2,430726,High
1576,1,1199,4,240968,Low
1906,9,964,2,341876,Medium
2387,8,1940,0,382977,Medium
2091,6,1223,2,294462,Medium
1943,8,2779,1,449303,High
1290,5,1316,1,303294,Medium
2418,3,1403,1,283735,Medium
2018,1,1064,3,155638,Low
1348,2,1103,2,173406,Low
1567,3,1256,2,257342,Medium
2412,10,2746,3,513019,High
2058,5,2848,3,431983,High
1599,1,1185,0,141634,Low
1458,2,866,1,152668,Low
1375,8,1979,2,423137,High
1333,7,2240,3,420373,High
1756,1,2228,4,272649,Medium
2323,2,2199,1,224759,Low
1711,6,2056,1,364841,Medium
2389,6,1066,3,331133,Medium
1566,10,2286,0,458861,High
1328,1,2424,0,234200,Low
1318,8,2467,2,427902,High
2302,5,806,4,271870,Medium
1952,8,1891,0,388102,Medium
1012,8,1503,1,387572,Medium
1171,1,2940,3,333115,Medium
1260,2,1858,3,270331,Medium
1819,3,1819,4,313175,Medium
2494,3,1876,4,311266,Medium
1796,5,1205,0,229137,Low
1138,6,1050,0,249672,Low
1549,5,891,0,192648,Low
1615,8,1502,2,391361,Medium
1845,8,2442,0,421210,High
1777,8,1026,2,316004,Medium
1558,9,1883,0,411818,High
1139,4,2854,3,405682,High
2309,3,2250,1,301671,Medium
2023,6,2273,0,350545,Medium
1224,7,1060,3,323792,Medium
1963,7,2583,3,462469,High
1409,5,1658,4,321415,Medium
1325,10,2167,2,456611,High
1299,9,1786,3,429870,High
1993,8,2715,2,477282,High
2032,9,1785,1,422794,High
1670,3,1791,2,265776,Medium
2479,5,1249,2,269618,Medium
1946,3,2527,3,341736,Medium
2269,5,1904,2,329814,Medium
1573,8,1979,4,427179,High
1503,4,2003,3,354099,Medium
2037,9,2498,1,509832,High
1003,5,2687,1,387871,Medium
2468,10,987,1,373132,Medium
1467,2,1461,0,237395,Low
1321,7,1800,4,454686,High
1005,10,2065,3,485912,High
1973,6,1106,4,347656,Medium
1547,2,2779,3,340885,Medium
2476,7,1889,2,370403,Medium
1039,4,883,2,218617,Low
1542,8,1848,2,377398,Medium
1242,4,2107,4,371394,Medium
1136,9,2141,0,407108,High
1602,6,2711,2,373505,Medium
1772,1,2204,1,256793,Medium
1846,5,2685,0,345293,Medium
2090,2,1080,3,210729,Low
2365,2,1099,0,155283,Low
1581,8,2948,0,465334,High
2474,9,1157,4,396037,Medium
1788,7,1325,4,388860,Medium
2388,4,2689,2,417492,High
1376,4,2471,4,382623,Medium
1314,6,1487,4,339005,Medium
1442,1,835,1,94918,Low
1319,2,2437,3,291154,Medium
2478,10,961,3,388804,Medium
1793,3,2738,4,378939,Medium
2132,5,2385,1,352764,Medium
1424,10,2346,0,426740,High
1553,1,2651,2,268343,Medium
1594,4,2349,1,340719,Medium
1893,5,2264,4,393141,Medium
2481,2,1836,4,295386,Medium
2217,10,2374,2,502765,High
2164,4,2229,2,286426,Medium
1227,7,2247,1,380410,Medium
1714,7,1101,2,344343,Medium
1810,3,2960,0,313559,Medium
1979,5,1704,1,258083,Medium
2075,8,2587,4,514661,High
1066,4,1177,0,231713,Low
1393,10,1995,4,458793,High
1579,1,2438,1,234452,Low
1989,10,2698,1,494297,High
1211,4,2325,2,322116,Medium
2159,6,978,4,349767,Medium
1781,8,2823,3,427119,High
1536,9,894,3,373515,Medium
1774,1,1843,4,234334,Low
1661,6,2034,0,352506,Medium
1085,8,2189,1,435212,High
2349,1,2956,2,289570,Medium
2216,1,982,1,170641,Low
1915,5,2731,3,400867,High
1660,5,1198,2,250805,Medium
2350,5,2101,1,341390,Medium
1630,3,904,0,174476,Low
2033,5,2041,0,313305,Medium
2399,3,1817,1,262069,Medium
2092,1,1069,2,203919,Low
1273,7,2008,2,384138,Medium
1722,1,2168,0,227787,Low
1362,6,1514,0,279762,Medium
1622,1,2387,1,247302,Low
1002,8,2019,1,410264,High
1006,3,1530,4,290796,Medium
1311,2,1374,3,257779,Medium
2167,8,2315,4,449183,High
1938,1,1234,2,146889,Low
2477,10,2480,3,508368,High
1215,1,813,4,148657,Low
2320,1,2448,0,210167,Low
1027,3,1315,0,194426,Low
2465,9,2181,3,503889,High
2024,7,2187,3,404756,High
1785,3,987,1,224267,Low
1638,7,1041,0,346285,Medium
1829,5,1198,1,301200,Medium
1826,2,2575,0,293037,Medium
1624,1,1393,1,187195,Low
1849,6,2249,2,362657,Medium
1256,9,2116,4,471978,High
1025,1,2253,0,231112,Low
1336,2,2763,2,294094,Medium
1572,4,2152,0,300988,Medium
1047,4,2655,2,386561,Medium
1106,3,2751,0,302797,Medium
1349,2,2563,1,306157,Medium
1055,4,2480,4,400516,High
1808,4,2173,4,352749,Medium
1213,4,1180,2,301185,Medium
1120,10,1227,2,396806,Medium
1869,3,1784,4,268803,Medium
1855,1,2803,1,248069,Low
1072,2,2501,0,259374,Medium
2380,8,964,0,280008,Medium
1720,10,1461,2,385989,Medium
1045,5,1733,2,299860,Medium
2263,10,1570,3,440006,High
1523,5,1747,4,327225,Medium
1868,4,2487,4,367363,Medium
2107,7,1943,2,373558,Medium
2274,5,2036,2,335929,Medium
1802,6,1797,4,363347,Medium
1533,3,1592,1,227155,Low
2137,7,2127,3,369641,Medium
1603,3,2246,1,266047,Medium
1465,10,2621,3,507182,High
2202,10,1401,3,431430,High
2277,10,1950,4,481516,High
2443,5,1495,0,276470,Medium
1988,4,2449,2,364732,Medium
1060,4,2835,1,385370,Medium
1885,5,1381,4,315458,Medium
1092,5,2843,1,385122,Medium
1666,5,2837,1,400524,High
1705,2,2960,2,309792,Medium
1194,6,1554,1,312680,Medium
1280,6,2159,2,330890,Medium
1695,7,1582,4,384921,Medium
1359,1,2638,1,250218,Medium
1519,9,2252,0,460305,High
1812,2,1969,2,289232,Medium
1767,6,1814,4,336921,Medium
1182,1,1203,2,153927,Low
2486,1,1773,1,221741,Low
1110,1,2568,3,273083,Medium
1042,10,2210,3,502507,High
2006,5,2083,4,363958,Medium
1204,3,1277,1,261676,Medium
1820,10,1941,0,435291,High
1052,4,2407,0,310008,Medium
1545,2,1336,2,201413,Low
2131,4,1293,3,274170,Medium
2157,5,2611,3,392971,Medium
2467,5,1709,1,304048,Medium
1910,1,2738,1,248834,Low
1183,1,1315,4,195181,Low
1137,5,910,2,230920,Low
2149,5,2247,2,360517,Medium
1080,7,871,0,265930,Medium
2212,9,1616,1,432205,High
1105,5,1735,1,294139,Medium
1541,7,2760,4,460718,High
2313,2,2629,2,300652,Medium
1480,4,1147,0,210876,Low
1165,1,1111,1,154649,Low
1248,4,2190,4,352118,Medium
1307,5,2127,1,335802,Medium
1446,3,2722,2,346638,Medium
1746,10,2976,2,542403,High
1334,10,1104,3,443741,High
1097,7,1911,0,343762,Medium
1759,10,2959,3,544330,High
1737,8,2866,4,484324,High
1836,6,1401,1,318172,Medium
1942,8,2117,2,391618,Medium
1102,7,1909,4,386238,Medium
1434,10,2377,3,495434,High
1074,8,1813,3,429790,High
2340,7,923,4,309723,Medium
2124,1,2455,3,266022,Medium
1000,7,1788,3,391609,Medium
1001,4,1077,3,255928,Medium
1004,7,1283,3,369583,Medium
1007,7,1840,3,382344,Medium
1008,8,1717,4,433742,High
1009,5,1685,2,328760,Medium
1011,8,1273,3,381676,Medium
1013,3,1486,1,226894,Low
1014,6,1084,1,269389,Medium
1016,2,1562,0,169242,Low
1017,8,2050,3,431019,High
1018,6,1747,0,312889,Medium
1019,2,1830,0,222040,Low
1020,5,828,0,231279,Low
1021,1,1706,1,183460,Low
1022,10,2926,4,560283,High
1024,9,2806,1,466652,High
1026,10,1537,1,414204,High
1028,7,2800,4,476655,High
1033,3,2510,2,326039,Medium
1034,7,1773,0,343698,Medium
1035,5,2362,0,308717,Medium
1036,9,1788,2,435170,High
1037,7,820,2,316364,Medium
1038,2,1668,0,189360,Low
1040,9,2482,1,450899,High
1041,2,2776,3,314142,Medium
1046,2,2780,4,368354,Medium
1050,3,2609,2,318830,Medium
1053,2,1883,1,204608,Low
1057,6,1390,3,310467,Medium
1061,6,1148,4,323225,Medium
1062,2,1759,4,319795,Medium
1064,2,1492,4,236371,Low
1068,7,2059,2,380364,Medium
1069,9,2675,0,441486,High
1071,5,1320,0,260620,Medium
1073,5,1816,4,339490,Medium
1075,10,916,2,374185,Medium
1077,9,1383,3,394027,Medium
1079,9,1887,1,392169,Medium
1082,8,2813,3,477521,High
1084,8,1137,2,339816,Medium
1087,1,965,3,174847,Low
1089,3,2858,3,352618,Medium
1090,3,2124,0,206810,Low
1091,1,1528,4,232369,Low
1093,10,901,4,380816,Medium
1094,7,2215,4,440038,High
1095,10,1578,3,439848,High
1098,9,2376,0,456339,High
1103,7,2939,4,465949,High
1104,8,1513,4,414942,High
1108,6,2843,1,397802,Medium
1112,5,2963,3,413845,High
1114,1,889,3,136840,Low
1116,10,2969,3,538899,High
1117,7,942,4,359923,Medium
1118,7,905,3,340396,Medium
1119,9,1686,2,412893,High
1121,10,2128,4,505752,High
1122,3,2695,0,268675,Medium
1125,4,2786,4,412359,High
1127,5,2725,4,441402,High
1130,4,1352,4,293856,Medium
1131,7,1515,1,334798,Medium
1132,3,2087,0,239519,Low
1133,6,2513,3,393011,Medium
1134,2,2683,1,273345,Medium
1142,9,1007,2,384654,Medium
1143,7,1699,0,294601,Medium
1144,1,821,3,216052,Low
1145,1,1209,1,190636,Low
1146,9,1694,3,417385,High
1148,4,1608,0,224541,Low
1149,9,1673,3,428318,High
1150,3,813,3,213236,Low
1151,7,1770,0,322204,Medium
1152,6,2934,3,431008,High
1153,8,2360,1,408860,High
1154,9,2124,3,436045,High
1157,3,1549,1,255576,Medium
1159,8,2727,0,406449,High
1160,6,1494,1,326410,Medium
1161,8,1106,4,384812,Medium
1162,9,2789,4,536320,High
1164,1,1348,0,198109,Low
1166,10,1882,3,437587,High
1167,4,2537,0,323010,Medium
1169,2,834,2,159229,Low
1172,5,2782,4,403020,High
1173,1,2030,3,277587,Medium
1176,1,2155,2,253576,Medium
1177,2,2548,0,260602,Medium
1180,7,1756,2,355450,Medium
1181,5,2871,3,425867,High
1185,2,1755,4,279660,Medium
1186,5,2999,1,381158,Medium
1187,10,2512,1,487940,High
1189,7,2073,4,422315,High
1190,4,2335,3,351021,Medium
1191,7,2241,3,409394,High
1193,1,1094,3,187984,Low
1197,4,2069,3,330079,Medium
1200,6,1329,3,328900,Medium
1201,1,2868,0,297926,Medium
1202,9,1593,0,369173,Medium
1205,4,2422,3,335471,Medium
1206,4,1739,1,276910,Medium
1207,3,1325,0,249824,Low
